,Año Fecha de Inicio del Contrato,Departamento,Sector de Ambiente y Desarrollo Sostenible,Sector de Ciencia Tecnología,Sector de Cultura,Sector de Educación Nacional,Sector de Hacienda y Crédito Público,Sector de Inclusión Social y Reconciliación,Sector de Industria,Sector de Ley de Justicia,Sector de Minas y Energía,Sector de No aplica/No pertenece,Sector de Planeación,Sector de Presidencia de la República,Sector de Relaciones Exteriores,Sector de Salud y Protección Social,Sector de Servicio Público,Sector de Tecnologías de la Información y las Comunicaciones,Sector de Trabajo,Sector de Transporte,"Sector de Vivienda, Ciudad y Territorio",Sector de agricultura,Sector de defensa,Sector de deportes,Sector de interior,Estado del contrato Activo,Estado del contrato Cerrado,Estado del contrato En ejecución,Estado del contrato cedido,Estado del contrato enviado Proveedor,Destino gasto Funcionamiento,Destino gasto Inversión,Destino gasto No Definido,Codigo
34,2018.0,Chocó,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14324400,0,0,0,0,0,84498210,0,0,7,0,0,0,0,84498210,14324400,0,27
35,2019.0,Chocó,0,0,0,0,0,0,0,0,6300000,0,0,0,0,0,0,0,14851992,0,0,0,2005807958,0,0,33,0,0,0,0,2026959950,0,0,27
36,2020.0,Chocó,0,0,0,0,0,0,0,0,67960529811,34340697662,0,0,0,292687728,7118613608,0,90956876,0,0,0,1279384513,0,0,32,4,881,0,23,55072049653,56010820545,0,27
37,2021.0,Chocó,0,0,0,0,0,0,0,0,46123219308,64993747549,0,0,0,405651842,10459910225,0,10000000,0,0,0,0,0,0,0,0,784,0,4,62462875090,59529653834,0,27
38,2018.0,Cundinamarca,0,0,0,7304749071,1087150312,0,44871360,129247611,0,3011082076,0,0,0,181464000,4995250137,0,0,0,549618954,0,0,0,383245852,193,89,0,0,13,3295820197,12766365688,1624493488,25
39,2019.0,Cundinamarca,0,0,0,3865048803,1045434404,0,195059240,480749920,0,28737779537,0,0,0,4747349719,14231532280,0,0,0,983158997,0,0,1451328176,610725582,1133,115,0,12,203,15891791409,36620568579,3835806670,25
40,2020.0,Cundinamarca,0,0,0,44477325043,3753571711,0,0,514938314,0,12296836436,0,0,0,0,10400614353,0,0,0,688020704,0,0,0,0,186,2,577,12,202,5888682897,65386014937,856608727,25
41,2021.0,Cundinamarca,0,0,0,50365424479,43444430912,0,0,319309831,0,17995850414,0,0,0,0,34186212602,0,0,0,899431209,18000000,0,0,0,4,1,1477,3,3,13456252549,133772406898,0,25
42,2018.0,Córdoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895555556,0,0,1,0,0,0,0,895555556,0,0,23
43,2019.0,Córdoba,0,0,0,0,0,0,0,0,0,8599928,0,0,0,0,0,0,0,0,0,0,1524529005,0,0,32,0,0,0,1,1512985274,0,20143659,23
